timestamp_ms,ax_g,ay_g,az_g,label
10554,-0.0127,-0.3039,0.7763,0
10564,0.0454,-0.2277,0.7273,0
10574,0.1323,-0.1652,0.7349,0
10584,0.2279,-0.1313,0.79,0
10594,0.3434,-0.1191,0.8476,0
10604,0.4539,-0.1201,0.9103,0
10614,0.5469,-0.1437,0.9862,0
10624,0.645,-0.1657,1.0177,0
10634,0.7314,-0.1862,0.9865,0
10644,0.7412,-0.2348,0.9062,0
10654,0.6658,-0.3175,0.792,0
10664,0.5189,-0.4147,0.6629,0
10674,0.3414,-0.4918,0.5523,0
10684,0.1581,-0.5267,0.5184,0
10694,0.0761,-0.4959,0.4168,0
10704,0.0732,-0.4327,0.2716,0
10714,0.0747,-0.3541,0.1569,0
10724,0.0339,-0.2834,0.1364,0
10734,-0.0486,-0.1999,0.1789,0
10744,-0.1098,-0.1152,0.2289,0
10754,-0.134,-0.0203,0.2463,0
10764,-0.112,0.0615,0.2204,0
10774,-0.0866,0.1059,0.2013,0
10784,-0.0737,0.1413,0.2892,0
10794,-0.0142,0.1386,0.3934,0
10804,0.0754,0.1445,0.546,0
10814,0.1757,0.1252,0.7334,0
10824,0.3036,0.091,0.8652,0
10834,0.4225,0.0388,0.9709,0
10844,0.5052,-0.0334,1.0865,0
10854,0.5474,-0.1545,1.1707,0
10864,0.5816,-0.2899,1.1844,0
10874,0.5569,-0.4273,1.1742,0
10884,0.4732,-0.6031,1.1764,0
10894,0.3905,-0.751,1.1717,0
10904,0.349,-0.8471,1.1473,0
10914,0.3461,-0.9177,1.0985,0
10924,0.3336,-0.9291,1.0929,0
10934,0.2958,-0.9011,1.1346,0
10944,0.2631,-0.8383,1.1729,0
10954,0.2109,-0.7395,1.263,0
10964,0.1179,-0.628,1.4187,0
10974,0.1294,-0.5176,1.456,0
10984,0.2214,-0.3973,1.4355,0
10994,0.3131,-0.3224,1.429,0
11004,0.399,-0.3229,1.4558,0
11014,0.4481,-0.3758,1.5495,0
11024,0.5001,-0.4725,1.6203,0
11034,0.5479,-0.5835,1.612,0
11044,0.5474,-0.7087,1.5634,0
11054,0.4906,-0.821,1.5002,0
11064,0.4129,-0.9086,1.4087,0
11074,0.3512,-0.9408,1.2859,0
11084,0.2948,-0.9003,1.1727,0
11094,0.2038,-0.8239,1.1158,0
11104,0.1062,-0.7324,1.1014,0
11114,0.0857,-0.6026,1.0282,0
11124,0.1254,-0.4498,0.9301,0
11134,0.1921,-0.2741,0.8542,0
11144,0.2314,-0.1152,0.8208,0
11154,0.2589,-0.0081,0.7788,0
11164,0.2802,0.0715,0.6934,0
11174,0.2907,0.0986,0.5821,0
11184,0.289,0.0927,0.4535,0
11194,0.2607,0.0686,0.3278,0
11204,0.1594,0.0154,0.2877,0
11214,0.0315,-0.0461,0.2938,0
11224,-0.0364,-0.093,0.2599,0
11234,-0.053,-0.1237,0.2057,0
